"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-lace-fitted-trousers-white","The fold over lace trousers - white",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige",""
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush",""
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush",""
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush",""
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush",""
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush",""
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe",""
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe",""
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe",""
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe",""
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe",""
"the-high-neck-crop-top-white","The high neck crop top - white",""
"the-high-neck-crop-top-white","The high neck crop top - white",""
"the-high-neck-crop-top-white","The high neck crop top - white",""
"the-high-neck-crop-top-white","The high neck crop top - white",""
