"Handle","Title","Size","Variant SKU","Variant ID"
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","4","CROCHET-WIDE-BIK-MEL-4-1",56604628287874
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","6","CROCHET-WIDE-BIK-MEL-6-1",56604628320642
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","8","CROCHET-WIDE-BIK-MEL-8-1",56604628353410
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","10","CROCHET-WIDE-BIK-MEL-10-1",56604628386178
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","12","CROCHET-WIDE-BIK-MEL-12-1",56604628418946
"the-crochet-wide-band-bikini-top-mocha-melt","The crochet wide band bikini top - mocha melt","14","CROCHET-WIDE-BIK-MEL-14-1",56604628451714
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","4","CROCHET-WIDE-BIK-SOR-4-3",56604628681090
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","6","CROCHET-WIDE-BIK-SOR-6-3",56604628713858
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","8","CROCHET-WIDE-BIK-SOR-8-3",56604628746626
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","10","CROCHET-WIDE-BIK-SOR-10-3",56604628779394
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","12","CROCHET-WIDE-BIK-SOR-12-3",56604628812162
"the-crochet-wide-band-bikini-top-strawberry-sorbet","The crochet wide band bikini top - strawberry sorbet","14","CROCHET-WIDE-BIK-SOR-14-3",56604628844930
"the-devore-mini-black","The devore mini - black","M (8-10)","DEVORE-MINI-GEN-BLK-M",55993178161538
"the-devore-mini-black","The devore mini - black","XL (12-14)","DEVORE-MINI-GEN-BLK-XL",55993178227074
"the-lace-up-corset-black","The dipped hem lace up corset - black","4","DIPPED-HEM-CRST-BLK-4",42808420466741
"the-lace-up-corset-black","The dipped hem lace up corset - black","6","DIPPED-HEM-CRST-BLK-6",42808420499509
"the-lace-up-corset-black","The dipped hem lace up corset - black","8","DIPPED-HEM-CRST-BLK-8",42808420532277
"the-lace-up-corset-black","The dipped hem lace up corset - black","10","DIPPED-HEM-CRST-BLK-10",42808420565045
"the-lace-up-corset-black","The dipped hem lace up corset - black","16","DIPPED-HEM-CRST-BLK-16",42808438030389
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden","XS (4-6)","DOUBLE-STRAP-BIK-PRI-XS",55564963512706
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden","S (6-8)","DOUBLE-STRAP-BIK-PRI-S",55564963545474
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden","M (8-10)","DOUBLE-STRAP-BIK-PRI-M",55564963578242
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden","L (10-12)","DOUBLE-STRAP-BIK-PRI-L",55564963611010
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden","XL (12-14)","DOUBLE-STRAP-BIK-PRI-XL",55564963643778
"the-droplet-top-white","The droplet top - white","XS (4-6)","DROPLET-TOP-WHT-XS",55103659278722
"the-droplet-top-white","The droplet top - white","S (6-8)","DROPLET-TOP-WHT-S",55103659311490
"the-droplet-top-white","The droplet top - white","M (8-10)","DROPLET-TOP-WHT-M",55103659344258
"the-droplet-top-white","The droplet top - white","L (10-12)","DROPLET-TOP-WHT-L",55103659377026
"the-droplet-top-white","The droplet top - white","XL (14-16)","DROPLET-TOP-WHT-XL",55103659409794
"the-elara-mini-cream","The elara mini - cream","4","ELARA-MINI-GEN-CRE-4",55993320472962
"the-feather-mini-skirt-black","The feather mini skirt - black","XS","FEATHER-MINI-SKT-BLK-XS",42808529322037
